Date,Close,compound,negative,neutral,positive,Open,High,Low,Volume,Subjectivity,Polarity
2015-01-02,78.45,0.1943,0.116,0.749,0.135,78.58,78.93,77.7,18141830,0.7892857142857143,0.3642857142857143
2015-01-05,77.19,0.9748,0.061,0.831,0.107,77.98,79.2455,76.86,26392340,0.43274189261031365,0.12180356193514083
2015-01-06,76.15,0.9932,0.034,0.862,0.105,77.23,77.59,75.365,27365180,0.3233147804576376,0.16318491032776747
2015-01-07,76.15,0.9866,0.059,0.812,0.129,76.76,77.36,75.82,22015250,0.3999572133293064,0.17316269002315512
2015-01-08,78.175,0.4939,0.059,0.827,0.114,76.74,78.23,76.08,23931830,0.4041666666666666,0.1708333333333333
2015-01-09,77.74,0.9107,0.084,0.806,0.11,78.2,78.62,77.2,21146060,0.43739660636982075,0.17875405844155842
2015-01-12,76.72,0.9609,0.101,0.774,0.125,77.84,78.0,76.21,19150390,0.44111781076066786,0.16615903937332507
2015-01-13,76.45,0.9984,0.027,0.824,0.149,77.23,78.08,75.85,25149270,0.4385853729603729,0.18685168997669002
2015-01-14,76.28,0.9728,0.073,0.829,0.098,76.42,77.2,76.0291,25831690,0.4341122492530941,0.09326184379001286
2015-01-15,74.05,0.8521,0.078,0.828,0.094,76.4,76.57,73.54,34058150,0.5199469181612038,0.09556599154813442
2015-01-16,75.18,0.9895,0.047,0.842,0.111,74.04,75.32,73.84,21744680,0.3926499426499427,0.08826913826913826
2015-01-20,76.24,0.8979,0.067,0.851,0.082,75.72,76.31,74.82,22765930,0.4746822937163845,0.0637191722418995
2015-01-21,76.74,0.9905,0.031,0.871,0.098,76.16,77.3,75.85,25079200,0.4034090909090909,0.05722064393939393
2015-01-22,77.65,0.9296,0.062,0.849,0.089,77.17,77.75,76.68,19491720,0.3997973484848485,0.046566287878787874
2015-01-23,77.83,0.9957,0.05,0.837,0.114,77.65,78.19,77.04,16711610,0.43722731516849167,0.1827985739750446
2015-01-26,77.495,0.9988,0.033,0.837,0.13,77.98,78.47,77.29,19229120,0.4729413179413178,0.18390091390091387
2015-01-27,75.78,0.9911,0.049,0.861,0.09,76.71,76.88,75.63,19982990,0.43087246087246084,0.10598734598734601
2015-01-28,76.24,0.9984,0.031,0.834,0.135,76.9,77.638,76.0,51281680,0.45347740321144575,0.1468705865647355
2015-01-29,78.0,0.9945,0.048,0.845,0.108,76.85,78.02,74.21,60670160,0.42235930735930727,0.15534632034632032
2015-01-30,75.91,0.9962,0.05,0.8,0.15,78.0,78.16,75.75,42540890,0.38689959294436893,0.07957485300768882
2015-02-02,74.99,0.979,0.039,0.88,0.081,76.11,76.14,73.75,41901530,0.36624904507257433,0.12148570791953146
2015-02-03,75.4,0.9972,0.02,0.883,0.097,75.19,75.58,73.86,26921640,0.3966974833076527,0.1379583975346687
2015-02-04,75.63,0.9954,0.04,0.855,0.105,75.09,76.35,75.01,20246640,0.46903269144648446,0.17912934766383046
2015-02-05,75.615,-0.34,0.127,0.805,0.068,75.71,75.98,75.21,15002820,0.2,0.1
2015-02-06,74.47,0.9858,0.029,0.885,0.086,75.68,75.7,74.25,21131450,0.3981457431457432,0.1983423520923521
2015-02-09,74.44,-0.2406,0.054,0.896,0.05,74.05,74.83,73.45,16182700,0.29149678604224055,0.062248458612094965
2015-02-10,75.19,0.4588,0.086,0.839,0.075,74.85,75.34,74.5,15783750,0.38271604938271603,0.04949494949494948
2015-02-11,76.51,0.9949,0.013,0.877,0.111,75.09,76.75,75.03,20817690,0.4555661881977668,0.16613769271664017
2015-02-12,76.23,-0.7242,0.096,0.823,0.081,76.86,76.87,75.89,17212100,0.4450461760461759,0.038202741702741704
2015-02-13,75.74,0.9942,0.049,0.846,0.106,76.46,76.48,75.5,18487260,0.44046561675872015,0.15302501617156788
2015-02-17,75.6,0.9978,0.029,0.87,0.1,75.3,76.91,75.08,25243920,0.4179864844150559,0.12297830476401901
2015-02-18,76.71,0.9959,0.043,0.861,0.096,75.94,76.9,75.45,22410540,0.4305373792873793,0.16188131313131313
2015-02-19,79.42,0.9836,0.064,0.847,0.089,76.986,79.84,76.95,45778750,0.3786588411588411,0.14916541791541799
2015-02-20,79.895,0.9956,0.052,0.85,0.099,79.55,80.34,79.2,36904680,0.3798533807462378,0.15763373531230676
2015-02-23,78.84,0.9928,0.049,0.853,0.098,79.96,80.19,78.38,24105020,0.41111456176673544,0.10454278812974467
2015-02-24,78.45,0.9915,0.036,0.889,0.075,78.5,79.48,78.1,18871220,0.42904651845329805,0.17495689338909676
